year,title,authors,journal,volume,page,end,DOI,citations
2020,Establishment of a desert foundation species is limited by exotic plants and light but not herbivory or water,"Filazzola, A.; Brown, Charlotte; Westphal, M. Lortie, Christopher J.",APPLIED VEGETATION SCIENCE,1,,,10.1111/avsc.12515,
2020,Positive associations with native shrubs are intense and important for an exotic invader but not the native annual community across an aridity gradient,"Lucero, J.E.; Seifan, M.; Callaway, R.M., Lortie, Christopher J.",DIVERSITY AND DISTRIBUTIONS,26,1177,1197,10.1111/ddi.13111,
2020,A systematic review of the direct and indirect effects of herbivory on plant reproduction mediated by pollination ,"Haas, Stephanie; Lortie, Christopher J.",PEERJ,8,1,19,10.7717/peerj.9049,
2020,Species‐specificity challenges the predictability of facilitation along a regional desert gradient,"Filazzola, Alessandro; Lortie, Christopher J.; Westphal, Michael; Michalet, R.M.",JOURNAL OF VEGETATION SCIENCE,,,,10.1111/jvs.12909,
2020,Shrub and vegetation cover predict resource selection use by an endangered species of desert lizard,"Lortie, Christopher J.; Braun, Jenna; Westphal, M.; Noble, T., Zuliani, M.; Nix, Emme; Ghazian, Nargol; Owen, Malory; Butterfield, S.",NATURE SCIENTIFIC REPORTS,10,17,,10.1038/s41598-020-61880-9,
2020,Thermal ecology of the federally endangered blunt-nosed leopard lizard (Gambelia sila) ,"Ivey, Kathleen; Cornwall, M.; Crowell, H.; Ghazian, N.; Nix, E.; Owen, M.; Zuliani, M.; Lortie, C.J.; Westphal, M.; Taylor, M.",CONSERVATION PHYSIOLOGY,8,1,11,10.1093/conphys/coaa014,0
2020,A checklist for choosing between R packages in ecology and evolution,"Lortie, Christopher J.; Braun, Jenna;  Filazzola, Alessandro; Miguel, Florencia",ECOLOGY AND EVOLUTION,1,1,8,10.1002/ece3.5970,0
2019,Evaluating the popularity of R in ecology,"Lai, Jiangshan; Lortie, Christopher J.; Muenchen, Robert A.; Yang, Jian; Ma, Keping",ECOSPHERE,10,,,10.1002/ecs2.2567,2
2019,Biogeographic differences in the allelopathy of leaf surface extracts of an invasive weed,"Irimia, Ramona E.; Lopes, Susana M. M.; Sotes, Gaston; Cavieres, Lohengrin A.; Eren, Ozkan; Lortie, Christopher J.; French, Kristine; Hierro, Jose L.; Rosche, Christoph; Callaway, Ragan M.; Pinho e Melo, Teresa M. V. D.; Montesinos, Daniel",BIOLOGICAL INVASIONS,21,3151,3168,10.1007/s10530-019-02038-1,0
2019,Do or do not. There is no try in restoration ecology,"Lortie, Christopher J.; St John, Julie; Spangler, Will",RESTORATION ECOLOGY,27,955,958,10.1111/rec.12994,0
2019,Shrubs indirectly increase desert seedbanks through facilitation of the plant community,"Filazzola, Alessandro; Liczner, Amanda Rae; Westphal, Michael; Lortie, Christopher J.",PLOS ONE,14,,,10.1371/journal.pone.0215988,0
2019,The dark side of facilitation: native shrubs facilitate exotic annuals more strongly than native annuals,"Lucero, Jacob E.; Noble, Taylor; Haas, Stephanie; Westphal, Michael; Butterfield, H. Scott; Lortie, Christopher J.",NEOBIOTA,,75,93,10.3897/neobiota.44.33771,0
2019,Finding the bees knees: A conceptual framework and systematic review of the mechanisms of pollinator-mediated facilitation,"Braun, Jenna; Lortie, Christopher J.",PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,36,33,40,10.1016/j.ppees.2018.12.003,0
2019,Ten simple rules for writing statistical book reviews,"Lortie, Christopher J.",PLOS COMPUTATIONAL BIOLOGY,15,,,10.1371/journal.pcbi.1006562,0
2018,Better late than never: a synthesis of strategic land retirement and restoration in California,"Lortie, Christopher J.; Filazzola, A.; Kelsey, R.; Hart, Abigail K.; Butterfield, H. S.",ECOSPHERE,9,,,10.1002/ecs2.2367,5
2018,Modelling the niche space of desert annuals needs to include positive interactions,"Filazzola, Alessandro; Sotomayor, Diego A.; Lortie, Christopher J.",OIKOS,127,264,273,10.1111/oik.04688,4
2018,The effect of consumer pressure and abiotic stress on positive plant interactions are mediated by extreme climatic events,"Filazzola, Alessandro; Liczner, Amanda Rae; Westphal, Michael; Lortie, Christopher J.",NEW PHYTOLOGIST,217,140,150,10.1111/nph.14778,4
2018,Facilitation costs and benefits function simultaneously on stress gradients for animals,"Dangles, Olivier; Herrera, Mario; Carpio, Carlos; Lortie, Christopher J.",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,285,,,10.1098/rspb.2018.0983,3
2018,The Groot Effect: Plant facilitation and desert shrub regrowth following extensive damage,"Lortie, Christopher J.; Gruber, Eva; Filazzola, Alex; Noble, Taylor; Westphal, Michael",ECOLOGY AND EVOLUTION,8,706,715,10.1002/ece3.3671,3
2018,A test of desert shrub facilitation via radiotelemetric monitoring of a diurnal lizard,"Westphal, Michael F.; Noble, Taylor; Butterfield, Harry Scott; Lortie, Christopher J.",ECOLOGY AND EVOLUTION,8,12153,12162,10.1002/ece3.4673,1
2018,Ambient changes exceed treatment effects on plant species abundance in global change experiments,"Langley, J. Adam; Chapman, Samantha K.; La Pierre, Kimberly J.; Avolio, Meghan; Bowman, William D.; Johnson, David S.; Isbell, Forest; Wilcox, Kevin R.; Foster, Bryan L.; Hovenden, Mark J.; Knapp, Alan K.; Koerner, Sally E.; Lortie, Christopher J.; Megonigal, James P.; Newton, Paul C. D.; Reich, Peter B.; Smith, Melinda D.; Suttle, Kenwyn B.; Tilman, David",GLOBAL CHANGE BIOLOGY,24,5668,5679,10.1111/gcb.14442,1
2018,A comment on computational biology and connecting the dots,"Lortie, Christopher J.",IDEAS IN ECOLOGY AND EVOLUTION,11,86,89,10.24908/iee.2018.11.12.e,0
2017,"Non-trophic interactions in deserts: Facilitation, interference, and an endangered lizard species","Filazzola, Alessandro; Westphal, Michael; Powers, Michael; Liczner, Amanda Rae; Woollett, Deborah A. (Smith); Johnson, Brent; Lortie, Christopher J.",BASIC AND APPLIED ECOLOGY,20,51,61,10.1016/j.baae.2017.01.002,7
2017,Ten simple rules for short and swift presentations,"Lortie, Christopher J.",PLOS COMPUTATIONAL BIOLOGY,13,,,10.1371/journal.pcbi.1005373,5
2017,Fix-it Felix: advances in testing plant facilitation as a restoration tool,"Lortie, Christopher J.",APPLIED VEGETATION SCIENCE,20,315,+,10.1111/avsc.12317,4
